country,pop,density
China,1438207241,153
India,1377233523,464
United States,330610570,36
Indonesia,272931713,151
Pakistan,219992900,287
Brazil,212253150,25
Nigeria,205052107,226
Bangladesh,164354176,1265
Russia,145922010,9
Mexico,128655589,66
Japan,126552765,347
Ethiopia,114357494,115
Philippines,109280343,368
Egypt,101930276,103
Vietnam,97160127,314
DR Congo,88972681,40
Turkey,84153250,110
Iran,83771587,52
Germany,83730223,240
Thailand,69764925,137
United Kingdom,67814098,281
France,65244628,119
Italy,60479424,206
Tanzania,59368313,67
South Africa,59154802,49
Myanmar,54335948,83
Kenya,53521116,94
South Korea,51260395,527
Colombia,50771878,46
Spain,46751175,94
Uganda,45427637,229
Argentina,45111229,17
Algeria,43685618,18
Sudan,43632213,25
Ukraine,43785122,75
Iraq,40031626,93
Afghanistan,38742911,60
Poland,37854825,124
Canada,37674770,4
Morocco,36820713,83
Saudi Arabia,34701377,16
Uzbekistan,33368859,79
Peru,32876986,26
Angola,32644783,26
Malaysia,32280610,99
Mozambique,31067362,40
Ghana,30936375,137
Yemen,29687214,56
Nepal,29027347,203
Venezuela,28451828,32
Madagascar,27539106,48
Cameroon,26405174,56
Côte d'Ivoire,26239250,83
North Korea,25756088,214
Australia,25439164,3
Niger,24014064,19
Taiwan,23808164,673
Sri Lanka,21395196,341
Burkina Faso,20780371,76
Mali,20125282,17
Romania,19262731,84
Malawi,19024426,203
Chile,19082804,26
Kazakhstan,18730568,7
Zambia,18273379,25
Guatemala,17846248,167
Ecuador,17587526,71
Syria,17410293,95
Netherlands,17127290,508
Senegal,16649599,87
Cambodia,16671185,95
Chad,16324440,13
Somalia,15798020,25
Zimbabwe,14818157,38
Guinea,13056478,53
Rwanda,12883878,525
Benin,12055347,108
Burundi,11814346,463
Tunisia,11793319,76
Bolivia,11640159,11
Belgium,11579477,383
Haiti,11373955,414
Cuba,11327988,106
South Sudan,11166783,18
Dominican Republic,10825682,225
Czech Republic (Czechia),10705012,139
Greece,10433037,81
Jordan,10182442,115
Portugal,10202571,111
Azerbaijan,10120555,123
Sweden,10086531,25
Honduras,9871892,89
United Arab Emirates,9865845,118
Hungary,9665192,107
Tajikistan,9492342,68
Belarus,9449940,47
Austria,8996022,109
Papua New Guinea,8911530,20
Serbia,8744288,100
Israel,8627444,400
Switzerland,8641786,219
Togo,8237580,152
Sierra Leone,7942879,111
Hong Kong,7484618,7140
Laos,7253719,32
Paraguay,7114524,18
Bulgaria,6958627,64
Libya,6852010,4
Lebanon,6831445,667
Nicaragua,6608366,55
Kyrgyzstan,6501804,34
El Salvador,6479609,313
Turkmenistan,6012850,13
Singapore,5840996,8358
Denmark,5788108,137
Finland,5539002,18
Congo,5489191,16
Slovakia,5459116,114
Norway,5412632,15
Oman,5078933,16
State of Palestine,5076280,847
Costa Rica,5084636,100
Liberia,5032469,53
Ireland,4926480,72
Central African Republic,4812256,8
New Zealand,4814272,18
Mauritania,4623535,5
Panama,4300667,58
Kuwait,4257495,240
Croatia,4110214,73
Moldova,4035814,123
Georgia,3990681,57
Eritrea,3536285,35
Uruguay,3471314,20
Bosnia and Herzegovina,3284806,64
Mongolia,3267320,2
Armenia,2962137,104
Jamaica,2958567,273
Qatar,2870922,248
Albania,2878420,105
Puerto Rico,2874636,323
Lithuania,2729553,43
Namibia,2531290,3
Gambia,2402083,239
Botswana,2341649,4
Gabon,2214593,9
Lesotho,2138799,71
North Macedonia,2083391,83
Slovenia,2078881,103
Guinea-Bissau,1958132,70
Latvia,1890218,30
Bahrain,1688629,2239
Equatorial Guinea,1392950,50
Trinidad and Tobago,1398579,273
Estonia,1326357,31
Timor-Leste,1313184,89
Mauritius,1271347,626
Cyprus,1205577,131
Eswatini,1157707,67
Djibouti,985027,43
Fiji,895128,49
Réunion,894017,358
Comoros,865696,467
Guyana,785788,4
Bhutan,769867,20
Solomon Islands,683301,25
Macao,647508,21645
Montenegro,628050,47
Luxembourg,623861,242
Western Sahara,594215,2
Suriname,585561,4
Cabo Verde,554750,138
Maldives,538558,1802
Malta,441308,1380
Brunei,436624,83
Guadeloupe,400110,237
Belize,396120,17
Bahamas,392477,39
Martinique,375323,354
Iceland,340795,3
Vanuatu,305623,25
French Guiana,297029,4
Barbados,287305,668
New Caledonia,284938,16
French Polynesia,280580,77
Mayotte,271417,728
Sao Tome & Principe,218308,228
Samoa,198147,70
Saint Lucia,183458,301
Channel Islands,173536,915
Guam,168474,313
Curaçao,163958,370
Kiribati,119069,147
Micronesia,114776,164
Grenada,112418,331
St. Vincent & Grenadines,110869,284
Aruba,106675,593
Tonga,105449,147
U.S. Virgin Islands,104456,298
Seychelles,98224,214
Antigua and Barbuda,97764,223
Isle of Man,84942,149
Andorra,77240,164
Dominica,71950,96
Cayman Islands,65564,274
Bermuda,62323,1246
Marshall Islands,59109,329
Northern Mariana Islands,57490,125
Greenland,56750,0
American Samoa,55215,276
Saint Kitts & Nevis,53123,205
Faeroe Islands,48826,35
Sint Maarten,42776,1261
Monaco,39186,26337
Turks and Caicos,38609,41
Saint Martin,38529,730
Liechtenstein,38106,238
San Marino,33917,566
Gibraltar,33693,3369
British Virgin Islands,30190,202
Caribbean Netherlands,26173,80
Palau,18077,39
Cook Islands,17561,73
Anguilla,14976,167
Tuvalu,11762,393
Wallis & Futuna,11276,80
Nauru,10810,541
Saint Barthelemy,9871,470
Saint Helena,6073,16
Saint Pierre & Miquelon,5800,25
Montserrat,4991,50
Falkland Islands,3458,0
Niue,1624,6
Tokelau,1354,136
Holy See,801,2003
